,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,timings.blocked,timings.ssl,serverIPAddress,comment,time,response._error
0,har_a2,2019-12-09T09:31:11.091+02:00,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,HTTP/1.1,value,464,1,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,1130,45,,,-1,-1,0,81,0,-1,-1,172.217.22.13,,82,
1,har_a2,2019-12-09T09:31:11.398+02:00,GET,https://www.facebook.com/,HTTP/1.1,,482,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1536,33105,,,0,1011,0,278,70,0,931,185.60.216.35,,1361,
2,har_a2,2019-12-09T09:31:11.963+02:00,GET,https://scontent.ftlv6-1.fna.fbcdn.net/v/t39.2365-6/32213527_1720875981299142_7601737152052854784_n.png?_nc_cat=1&_nc_ohc=X5-y2ZdcCikAQmc57Z7o3tRLrMb7sKpr6Gcx2YdCaOwSeHX8qkz9Wdgkw&_nc_ht=scontent.ftlv6-1.fna&oh=073eed79608632ce3f28898b84eb4e9d&oe=5E7AA9E8,HTTP/1.1,value,624,0,,200,OK,HTTP/1.1,0,image/png,,,504,1436,,,0,169,0,3,0,0,163,212.199.140.145,,173,
3,har_a2,2019-12-09T09:31:11.964+02:00,GET,https://scontent.ftlv6-1.fna.fbcdn.net/v/t39.2365-6/32220240_200651090730619_3989834943638274048_n.png?_nc_cat=1&_nc_ohc=GgkpdbGxHmoAQnp6y_bUJMBMjgHy0wNeZkLlljOVeNg6diMzf-HG-j5zA&_nc_ht=scontent.ftlv6-1.fna&oh=6980eaf8b5720ea35aadd077d0e491b3&oe=5E7A1536,HTTP/1.1,value,623,0,,200,OK,HTTP/1.1,0,image/png,,,505,2075,,,0,191,0,3,0,0,139,212.199.140.145,,195,
4,har_a2,2019-12-09T09:31:11.972+02:00,GET,https://scontent.ftlv6-1.fna.fbcdn.net/v/t39.2365-6/32158113_191365994837162_5605369115159035904_n.png?_nc_cat=1&_nc_ohc=0112fD2bhycAQn3Zg-omUgcetY0mt6axy0lfUnqvj71hI1fV016iUtrpA&_nc_ht=scontent.ftlv6-1.fna&oh=3327343862ebb3682a5e7eed850d3ed1&oe=5E89B2B5,HTTP/1.1,value,623,0,,200,OK,HTTP/1.1,0,image/png,,,505,2133,,,-1,-1,0,3,0,-1,-1,212.199.140.145,,3,
5,har_a2,2019-12-09T09:31:12.214+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/F8qX9CenMvG.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,39760,,,0,419,0,56,112,0,347,31.13.92.14,,588,
6,har_a2,2019-12-09T09:31:12.214+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/I7MGeYV4AeN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,5466,,,0,420,0,58,1,0,346,31.13.92.14,,480,
7,har_a2,2019-12-09T09:31:12.216+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/d1NO03_1zJA.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,15377,,,0,465,0,58,62,0,335,31.13.92.14,,586,
8,har_a2,2019-12-09T09:31:12.222+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/pZf38NqrlFs.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,20312,,,0,454,0,56,61,0,340,31.13.92.14,,572,
9,har_a2,2019-12-09T09:31:12.222+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yu/l/0,cross/Q_Qtc1cmjHk.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,465,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,6953,,,0,463,0,58,0,0,343,31.13.92.14,,522,
